prompt,turn_num,num_statements,visibility
prompt3,4,10,explicit
prompt3,5,10,explicit
prompt3,6,10,explicit
prompt3,1,7,explicit
prompt3,2,7,explicit
prompt3,3,5,explicit
prompt3,4,5,explicit
prompt3,5,8,explicit
prompt3,6,5,explicit
prompt3,7,10,explicit
prompt3,8,4,explicit
prompt3,9,5,explicit
prompt3,10,10,explicit
prompt3,11,4,explicit
prompt3,12,10,explicit
prompt3,13,5,explicit
prompt3,14,10,explicit
prompt3,15,6,explicit
prompt3,16,10,explicit
prompt3,17,10,explicit
prompt4,1,3,explicit
prompt4,2,10,explicit
prompt4,3,2,explicit
prompt4,1,4,explicit
prompt4,2,5,explicit
prompt4,3,6,explicit
prompt4,1,0,explicit
prompt4,2,5,explicit
prompt4,3,5,explicit
prompt4,4,5,explicit
prompt4,5,5,explicit
prompt4,6,5,explicit
prompt4,7,4,explicit
prompt4,8,6,explicit
prompt4,9,3,explicit
prompt4,10,2,explicit
prompt4,11,5,explicit
prompt4,12,3,explicit
prompt4,13,5,explicit
prompt4,14,4,explicit
prompt4,15,7,explicit
prompt4,16,5,explicit
prompt4,17,3,explicit
prompt4,18,4,explicit
prompt4,1,5,explicit
prompt4,2,5,explicit
prompt4,3,0,explicit
prompt4,4,5,explicit
prompt4,5,8,explicit
prompt4,6,5,explicit
prompt4,7,5,explicit
prompt4,8,7,explicit
prompt4,9,4,explicit
prompt4,10,7,explicit
prompt4,11,5,explicit
prompt4,12,8,explicit
prompt4,13,5,explicit
prompt4,14,5,explicit
prompt4,15,3,explicit
prompt4,16,8,explicit
prompt4,17,5,explicit
prompt4,1,5,explicit
prompt4,2,5,explicit
prompt4,3,8,explicit
prompt4,4,3,explicit
prompt4,5,7,explicit
prompt4,6,3,explicit
prompt4,7,5,explicit
prompt4,8,10,explicit
prompt4,9,8,explicit
prompt4,10,6,explicit
prompt4,11,2,explicit
prompt4,12,5,explicit
prompt4,13,7,explicit
prompt4,14,3,explicit
prompt4,1,5,explicit
prompt4,2,9,explicit
prompt4,3,7,explicit
prompt4,4,7,explicit
prompt4,5,3,explicit
prompt4,6,5,explicit
prompt4,7,8,explicit
prompt4,8,3,explicit
prompt4,9,6,explicit
prompt4,10,4,explicit
prompt4,11,10,explicit
prompt4,12,3,explicit
prompt4,13,8,explicit
prompt4,14,4,explicit
prompt4,15,3,explicit
prompt4,16,5,explicit
prompt4,17,0,explicit
prompt4,18,8,explicit
prompt4,19,7,explicit
prompt4,20,3,explicit
prompt4,21,3,explicit
prompt4,22,5,explicit
prompt4,23,2,explicit
prompt4,24,8,explicit
prompt4,25,5,explicit
prompt4,26,10,explicit
prompt4,27,5,explicit
prompt4,28,7,explicit
prompt4,29,5,explicit
prompt4,30,3,explicit
prompt4,31,5,explicit
prompt4,32,4,explicit
prompt4,33,7,explicit
prompt4,34,2,explicit
prompt4,35,5,explicit
prompt4,36,0,explicit
prompt4,37,5,explicit
prompt4,38,7,explicit
prompt4,39,5,explicit
prompt4,40,8,explicit
prompt4,41,0,explicit
prompt4,42,7,explicit
prompt4,43,2,explicit
prompt4,44,10,explicit
prompt4,45,5,explicit
prompt4,46,8,explicit
prompt4,47,7,explicit
prompt4,48,8,explicit
prompt4,49,4,explicit
prompt4,50,5,explicit
prompt4,51,4,explicit
prompt4,52,10,explicit
prompt4,53,3,explicit
