analysis_subset,condition,base_condition,representation_budget,future_horizon,category,pair_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci_unstable,cluster_count,mean_order_consistency_rate,mean_order_consistency_rate_ci95_low,mean_order_consistency_rate_ci95_high,mean_order_consistency_rate_ci_unstable
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,5,sports,30,0.5159722222222223,,,True,3,0.04861111111111111,,,True
sparse_explicit,raw_history_b256,raw_history,256,1,business,4,0.5833333333333333,,,True,2,0.16666666666666666,,,True
sparse_explicit,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,business,4,0.6145833333333334,,,True,2,0.22916666666666669,,,True
sparse_explicit,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,business,4,0.5729166666666667,,,True,2,0.14583333333333334,,,True
sparse_explicit,raw_history_explicit_b256,raw_history_explicit,256,1,business,4,0.5989583333333333,,,True,2,0.19791666666666666,,,True
sparse_explicit,raw_history_b256,raw_history,256,3,business,2,0.5104166666666667,,,True,1,0.020833333333333332,,,True
sparse_explicit,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,business,2,0.53125,,,True,1,0.0625,,,True
sparse_explicit,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,business,2,0.5104166666666667,,,True,1,0.020833333333333332,,,True
sparse_explicit,raw_history_explicit_b256,raw_history_explicit,256,3,business,2,0.5625,,,True,1,0.125,,,True
sparse_explicit,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,business,1,0.5833333333333334,,,True,1,0.16666666666666666,,,True
sparse_explicit,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,business,1,0.5416666666666666,,,True,1,0.08333333333333333,,,True
sparse_explicit,raw_history_b256,raw_history,256,5,business,1,0.5625,,,True,1,0.125,,,True
sparse_explicit,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,5,business,1,0.5,,,True,1,0.0,,,True
sparse_explicit,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,5,business,1,0.5,,,True,1,0.0,,,True
sparse_explicit,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,5,business,1,0.5208333333333334,,,True,1,0.041666666666666664,,,True
sparse_explicit,raw_history_explicit_b256,raw_history_explicit,256,5,business,1,0.5,,,True,1,0.0,,,True
sparse_explicit,raw_history_b256,raw_history,256,1,commentary,13,0.5304487179487178,,,True,3,0.06089743589743589,,,True
sparse_explicit,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,commentary,13,0.5224358974358974,,,True,3,0.044871794871794865,,,True
sparse_explicit,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,commentary,13,0.5192307692307692,,,True,3,0.038461538461538464,,,True
sparse_explicit,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,commentary,13,0.5256410256410257,,,True,3,0.05128205128205128,,,True
sparse_explicit,raw_history_explicit_b256,raw_history_explicit,256,1,commentary,13,0.5272435897435899,,,True,3,0.05448717948717949,,,True
sparse_explicit,raw_history_b256,raw_history,256,3,commentary,3,0.5,,,True,2,0.0,,,True
sparse_explicit,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,commentary,3,0.5,,,True,2,0.0,,,True
sparse_explicit,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,commentary,3,0.5,,,True,2,0.0,,,True
sparse_explicit,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,commentary,3,0.5,,,True,2,0.0,,,True
sparse_explicit,raw_history_explicit_b256,raw_history_explicit,256,3,commentary,3,0.5,,,True,2,0.0,,,True
sparse_explicit,raw_history_b256,raw_history,256,5,commentary,1,0.5,,,True,1,0.0,,,True
sparse_explicit,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,5,commentary,1,0.5,,,True,1,0.0,,,True
sparse_explicit,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,5,commentary,1,0.5,,,True,1,0.0,,,True
sparse_explicit,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,5,commentary,1,0.5,,,True,1,0.0,,,True
sparse_explicit,raw_history_explicit_b256,raw_history_explicit,256,5,commentary,1,0.5,,,True,1,0.0,,,True
sparse_explicit,raw_history_b256,raw_history,256,1,news,1,0.5208333333333334,,,True,1,0.041666666666666664,,,True
sparse_explicit,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,news,1,0.7083333333333334,,,True,1,0.4166666666666667,,,True
sparse_explicit,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,news,1,0.5833333333333334,,,True,1,0.16666666666666666,,,True
sparse_explicit,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,news,1,0.6666666666666666,,,True,1,0.3333333333333333,,,True
sparse_explicit,raw_history_explicit_b256,raw_history_explicit,256,1,news,1,0.625,,,True,1,0.25,,,True
sparse_explicit,raw_history_b256,raw_history,256,3,news,1,0.5,,,True,1,0.0,,,True
sparse_explicit,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,news,1,0.5208333333333334,,,True,1,0.041666666666666664,,,True
sparse_explicit,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,news,1,0.5,,,True,1,0.0,,,True
sparse_explicit,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,news,1,0.5,,,True,1,0.0,,,True
sparse_explicit,raw_history_explicit_b256,raw_history_explicit,256,3,news,1,0.5,,,True,1,0.0,,,True
sparse_explicit,raw_history_b256,raw_history,256,5,news,1,0.5208333333333334,,,True,1,0.041666666666666664,,,True
sparse_explicit,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,5,news,1,0.5833333333333334,,,True,1,0.16666666666666666,,,True
sparse_explicit,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,5,news,1,0.5,,,True,1,0.0,,,True
sparse_explicit,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,5,news,1,0.5208333333333334,,,True,1,0.041666666666666664,,,True
sparse_explicit,raw_history_explicit_b256,raw_history_explicit,256,5,news,1,0.5625,,,True,1,0.125,,,True
sparse_explicit,raw_history_b256,raw_history,256,1,political,2,0.53125,,,True,1,0.0625,,,True
sparse_explicit,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,political,2,0.53125,,,True,1,0.0625,,,True
sparse_explicit,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,political,2,0.53125,,,True,1,0.0625,,,True
sparse_explicit,raw_history_explicit_b256,raw_history_explicit,256,1,political,2,0.53125,,,True,1,0.0625,,,True
sparse_explicit,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,political,1,0.5625,,,True,1,0.125,,,True
