analysis_subset,future_horizon,target_condition,baseline_condition,target_base_condition,baseline_base_condition,representation_budget,metric,paired_sample_size,mean_improvement,ci95_low,ci95_high,ci_unstable,cluster_count,wins,ties,losses
full,1,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,213,-0.0025430359937402185,-0.0074824813996976205,0.0051789800096339045,False,24,58,74,81
assumption_eligible,1,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,213,-0.0025430359937402185,-0.006945621468926551,0.004192947669965833,False,24,58,74,81
sparse_explicit,1,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,24,0.008680555555555572,,,True,9,9,8,7
dense_explicit,1,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,189,-0.00396825396825397,-0.009673191391941392,0.0025831826790633644,False,24,49,66,74
complete_case,1,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,166,-0.004518072289156626,,,True,19,43,59,64
full,3,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,87,-0.0035919540229885053,,,True,12,22,40,25
assumption_eligible,3,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,87,-0.0035919540229885053,,,True,12,22,40,25
sparse_explicit,3,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,7,0.005952380952380947,,,True,5,3,3,1
dense_explicit,3,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,80,-0.004427083333333332,,,True,12,19,37,24
complete_case,3,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,75,-0.0038888888888888875,,,True,12,18,36,21
full,5,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,45,0.0004629629629629601,,,True,8,13,20,12
assumption_eligible,5,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,45,0.0004629629629629601,,,True,8,13,20,12
sparse_explicit,5,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,4,0.005208333333333343,,,True,4,2,1,1
dense_explicit,5,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,41,-4.06179155350667e-18,,,True,7,11,19,11
complete_case,5,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,41,-0.0005081300813008152,,,True,8,12,17,12
full,1,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,213,0.0026408450704225378,-0.001416780027324339,0.0071592623823895,False,24,72,75,66
assumption_eligible,1,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,213,0.0026408450704225378,-0.0009415635158789696,0.00802018187323875,False,24,72,75,66
sparse_explicit,1,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,24,0.0026041666666666804,,,True,9,7,9,8
dense_explicit,1,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,189,0.0026455026455026467,-0.0020503251213481112,0.0075005787037037055,False,24,65,66,58
complete_case,1,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,166,0.004894578313253014,,,True,19,58,62,46
full,3,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,87,0.0004789272030651343,,,True,12,22,43,22
assumption_eligible,3,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,87,0.0004789272030651343,,,True,12,22,43,22
sparse_explicit,3,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,7,-0.005952380952380947,,,True,5,1,4,2
dense_explicit,3,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,80,0.0010416666666666664,,,True,12,21,39,20
complete_case,3,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,75,0.000277777777777779,,,True,12,19,38,18
full,5,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,45,0.004629629629629632,,,True,8,14,22,9
assumption_eligible,5,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,45,0.004629629629629632,,,True,8,14,22,9
sparse_explicit,5,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,4,0.005208333333333343,,,True,4,1,3,0
dense_explicit,5,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,41,0.0045731707317073185,,,True,7,13,19,9
complete_case,5,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,41,0.004573170731707316,,,True,8,12,21,8
full,1,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,213,-0.005183881064162757,-0.01136448566381302,0.0006821429895945907,False,24,71,56,86
assumption_eligible,1,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,213,-0.005183881064162757,-0.010686875012600554,0.0008316538113049722,False,24,71,56,86
sparse_explicit,1,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,24,0.006076388888888891,,,True,9,8,9,7
dense_explicit,1,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,189,-0.006613756613756616,-0.01327354623732013,-0.0005172821969697002,False,24,63,47,79
complete_case,1,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,166,-0.009412650602409641,,,True,19,50,41,75
full,3,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,87,-0.0040708812260536395,,,True,12,20,44,23
assumption_eligible,3,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,87,-0.0040708812260536395,,,True,12,20,44,23
sparse_explicit,3,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,7,0.011904761904761894,,,True,5,2,4,1
dense_explicit,3,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,80,-0.005468749999999999,,,True,12,18,40,22
complete_case,3,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,75,-0.004166666666666667,,,True,12,16,39,20
full,5,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,45,-0.004166666666666672,,,True,8,10,19,16
assumption_eligible,5,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,45,-0.004166666666666672,,,True,8,10,19,16
sparse_explicit,5,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,4,0.0,,,True,4,2,1,1
dense_explicit,5,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,41,-0.004573170731707323,,,True,7,8,18,15
complete_case,5,raw_history_explicit_b256,raw_history_b256,raw_history_explicit,raw_history,256,accuracy,41,-0.005081300813008131,,,True,8,8,18,15
full,1,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,213,-0.021028951486697964,-0.028869767665130563,-0.012142664195462914,False,24,41,54,118
assumption_eligible,1,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,213,-0.021028951486697964,-0.029050001882955475,-0.012439511060834593,False,24,41,54,118
sparse_explicit,1,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,24,-0.005208333333333319,,,True,9,8,7,9
dense_explicit,1,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,189,-0.0230379188712522,-0.031215337030716724,-0.013721579914860683,False,24,33,47,109
complete_case,1,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,166,-0.02259036144578313,,,True,19,32,42,92
full,3,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,87,-0.01317049808429119,,,True,12,5,49,33
assumption_eligible,3,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,87,-0.01317049808429119,,,True,12,5,49,33
sparse_explicit,3,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,7,0.0,,,True,5,0,7,0
dense_explicit,3,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,80,-0.014322916666666668,,,True,12,5,42,33
complete_case,3,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,75,-0.013055555555555558,,,True,12,3,44,28
full,5,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,45,-0.006481481481481482,,,True,8,11,17,17
assumption_eligible,5,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,45,-0.006481481481481482,,,True,8,11,17,17
