model_number,model_name,short_label,term,coefficient,clustered_se,z_or_t,p_value,ci95_low,ci95_high
12,spec_12_drop_previous_ratio,− Previous ratio,C(category)[T.commentary],0.06677838739794298,0.01538602787518933,4.340196699216057,1.4235523112740139e-05,0.03662232689744256,0.0969344478984434
12,spec_12_drop_previous_ratio,− Previous ratio,C(category)[T.news],0.03953288042013673,0.04850666118418103,0.8149990012717918,0.41507288176268287,-0.055538428511145106,0.13460418935141857
12,spec_12_drop_previous_ratio,− Previous ratio,C(category)[T.political],0.38622914559380717,0.013362991330332124,28.902895769835677,1.0979594725761742e-183,0.3600381638606352,0.41242012732697914
12,spec_12_drop_previous_ratio,− Previous ratio,C(category)[T.religion],-0.07557126882569555,0.011849597451544803,-6.377538910897223,1.7995633848053735e-10,-0.09879605306202097,-0.05234648458937013
12,spec_12_drop_previous_ratio,− Previous ratio,C(category)[T.sports],0.11237871631619561,0.02194501712425706,5.120921787387311,3.040457408986509e-07,0.06936727311253703,0.1553901595198542
12,spec_12_drop_previous_ratio,− Previous ratio,current_stance,0.031150668846750128,0.0026760826084394483,11.64039882345619,2.5681190911196156e-31,0.025905643314554805,0.03639569437894545
12,spec_12_drop_previous_ratio,− Previous ratio,previous_stance,0.04567777837598463,0.002583464504244443,17.68082290309752,5.892978865761588e-70,0.040614280992327896,0.05074127575964136
12,spec_12_drop_previous_ratio,− Previous ratio,timeline_position,1.1131110665136967,0.057066894509217,19.50537305536953,9.883347000503824e-85,1.0012620085660848,1.2249601244613086
12,spec_12_drop_previous_ratio,− Previous ratio,I(timeline_position ** 2),-0.8328270743152785,0.05258570619144532,-15.837518113444359,1.7145563061240992e-56,-0.9358931645521162,-0.7297609840784407
12,spec_12_drop_previous_ratio,− Previous ratio,log_duration,0.005317651132647345,0.0031364745927876477,1.6954229901544022,0.0899952077049434,-0.000829726107641377,0.011465028372936066
12,spec_12_drop_previous_ratio,− Previous ratio,log_gap,-0.03573609325361404,0.0030535647598746367,-11.703073641405654,1.2291908392760995e-31,-0.04172097020742903,-0.029751216299799058
12,spec_12_drop_previous_ratio,− Previous ratio,overlap,-0.025256249134443243,0.023890470493293302,-1.0571683442372284,0.29043476427814263,-0.07208071087501497,0.02156821260612849
12,spec_12_drop_previous_ratio,− Previous ratio,previous_log_duration,0.05524900721624341,0.0030686096205342793,18.00457342196038,1.793763756186504e-72,0.0492346428773831,0.06126337155510372
13,spec_13_drop_timeline,− Timeline,Intercept,1.2497901204926394,0.018847659856996216,66.31009525719553,0.0,1.2128493859800655,1.2867308550052132
13,spec_13_drop_timeline,− Timeline,C(category)[T.commentary],0.06935744578238671,0.015413222334626522,4.499866690858795,6.799609085538841e-06,0.03914808512081036,0.09956680644396307
13,spec_13_drop_timeline,− Timeline,C(category)[T.news],0.04674748138282198,0.048255668286756113,0.9687459119834,0.33267197915244584,-0.04783189050913165,0.14132685327477562
13,spec_13_drop_timeline,− Timeline,C(category)[T.political],0.392973991147798,0.01341240870156914,29.29928545212191,1.0590978699767551e-188,0.36668615314679087,0.41926182914880517
13,spec_13_drop_timeline,− Timeline,C(category)[T.religion],-0.08326019471435696,0.011899706467182879,-6.996827606123958,2.6182311692939422e-12,-0.10658319081663375,-0.059937198612080154
